n_qubits,sample,entropy_raw,entropy_norm,circuit_type,test,renyi_2,renyi_norm,purity,depth,qubit_i,qubit_j,distance,mutual_info,test_type,correlation,shots,error_rate,mitigated,correlation_avg_ones,correlation_zz_norm,mutual_info_approx,norm_theoretical,norm_observed,norm_num_states
6,30,5.221521905719311,0.8702536509532185,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,31,5.4128938568005385,0.902148976133423,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,32,5.201206040351964,0.8668676733919941,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,33,5.354381074595817,0.8923968457659694,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,34,5.263924791739721,0.8773207986232868,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,35,5.2003189508038465,0.8667198251339744,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,36,5.3561995080952975,0.8926999180158829,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,37,5.462828069144218,0.9104713448573697,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,38,5.354480473566112,0.8924134122610187,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,39,5.271525179147196,0.878587529857866,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,40,5.412266169134954,0.9020443615224923,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,41,5.324602191871277,0.8874336986452128,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,42,5.575739711886293,0.9292899519810488,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,43,5.464891158198394,0.9108151930330656,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,44,5.392488567253495,0.8987480945422491,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,45,5.400382449347381,0.9000637415578968,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,46,5.277403372875705,0.8795672288126175,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,47,5.2137486253219105,0.8689581042203184,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,48,5.4501760159286174,0.9083626693214363,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,49,5.378494270034275,0.8964157116723791,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,50,5.4827885218979535,0.9137980869829923,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,51,5.42911504842338,0.9048525080705634,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,52,4.95963456369796,0.8266057606163266,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,53,5.512750240048066,0.9187917066746777,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,54,5.4530204334520205,0.9088367389086701,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,55,5.399637825468559,0.8999396375780931,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,56,5.093330453215417,0.8488884088692362,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,57,5.286961221348335,0.8811602035580558,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,58,5.385921468630336,0.897653578105056,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,59,5.444553478895738,0.9074255798159564,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,60,5.379771411746252,0.8966285686243753,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,61,5.425456431038207,0.9042427385063679,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,62,5.439339072157912,0.9065565120263187,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,63,5.238063986053089,0.8730106643421816,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,64,5.506472751546883,0.9177454585911472,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,65,5.290652594856453,0.8817754324760755,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,66,5.426997070314171,0.9044995117190284,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,67,5.32716761751029,0.8878612695850484,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,68,5.322670009452912,0.8871116682421519,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,69,5.3969379673276645,0.8994896612212774,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,70,5.512404283591577,0.9187340472652629,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,71,5.408962276811413,0.9014937128019022,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,72,5.168874932420089,0.8614791554033482,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,73,5.405855340005962,0.9009758900009937,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,74,5.2623126539800325,0.8770521089966721,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,75,5.290287565201508,0.8817145942002513,haar_like,test1,,,,,,,,,,,,,,,,,,,
6,76,5.285055360384891,0.8808425600641484,haar_like,test1,,,,,,,,,,,,,,,,,,,
